date,net_flow_usd_mn,source_note
2026-07-01,142.4,sample fixture — replace with Farside/SoSoValue/issuer CSV
2026-07-02,88.1,sample
2026-07-03,-21.6,sample
2026-07-07,205.0,sample
2026-07-08,67.3,sample
2026-07-09,-54.2,sample
2026-07-10,31.8,sample
2026-07-11,12.4,sample
2026-07-14,176.9,sample
2026-07-15,94.0,sample
2026-07-16,-8.5,sample
2026-07-17,41.2,sample
2026-07-18,-112.7,sample
2026-07-21,63.5,sample
2026-07-22,29.1,sample
2026-07-23,18.6,sample
2026-07-24,-33.0,sample
2026-07-25,77.4,sample
2026-07-28,156.2,sample
2026-07-29,48.0,sample
2026-07-30,-19.3,sample
2026-07-31,22.8,sample
2026-08-01,91.5,sample
2026-08-04,134.6,sample
2026-08-05,58.2,sample
2026-08-06,-71.9,sample
2026-08-07,16.0,sample
2026-08-08,44.3,sample
2026-08-11,188.7,sample
2026-08-12,73.1,sample
2026-08-13,-26.4,sample
2026-08-14,39.8,sample
2026-08-15,11.2,sample
2026-08-18,102.5,sample
2026-08-19,-45.6,sample
2026-08-20,27.9,sample
2026-08-21,55.0,sample
2026-08-22,-9.8,sample
2026-08-25,120.3,sample
2026-08-26,66.7,sample
2026-08-27,14.1,sample
2026-08-28,-38.4,sample
2026-08-29,81.0,sample
2026-09-02,97.6,sample
2026-09-03,42.2,sample
2026-09-04,-15.7,sample
2026-09-05,28.9,sample
2026-09-08,151.4,sample
2026-09-09,69.8,sample
2026-09-10,-22.1,sample
2026-09-11,35.5,sample
2026-09-12,8.3,sample
2026-09-15,110.0,sample
2026-09-16,53.6,sample
