date,event,note
2026-10-13,CPI,static 2026 Q4 placeholder — replace with official BLS release calendar
2026-10-28,FOMC,static 2026 Q4 placeholder — replace with Fed calendar
2026-11-13,CPI,static 2026 Q4 placeholder
2026-12-10,CPI,static 2026 Q4 placeholder
2026-12-09,FOMC,static 2026 Q4 placeholder
2026-01-28,FOMC,2026 full-year placeholder
2026-03-18,FOMC,2026 full-year placeholder
2026-04-29,FOMC,2026 full-year placeholder
2026-06-17,FOMC,2026 full-year placeholder
2026-07-29,FOMC,2026 full-year placeholder
2026-09-16,FOMC,2026 full-year placeholder
2026-02-12,CPI,monthly placeholder
2026-03-12,CPI,monthly placeholder
2026-04-10,CPI,monthly placeholder
2026-05-13,CPI,monthly placeholder
2026-06-11,CPI,monthly placeholder
2026-07-15,CPI,monthly placeholder
2026-08-12,CPI,monthly placeholder
2026-09-11,CPI,monthly placeholder
